"Index" "US_CPI" "US_CPI_CORE" "US_CPI_FOOD_BEVERAGES" "US_CPI_HOUSING" "US_CPI_TRANSPORT" "US_CPI_MED_CARE" "US_CPI_GOODS_SERVICES"
"1949-06-30" "1949-06-30" 23.92 NA NA NA 22.1 14.8 NA
"1949-07-31" "1949-07-31" 23.7 NA NA NA 22.2 14.8 NA
"1949-08-31" "1949-08-31" 23.7 NA NA NA 22.3 14.9 NA
"1949-09-30" "1949-09-30" 23.75 NA NA NA 22.2 14.9 NA
"1949-10-31" "1949-10-31" 23.67 NA NA NA 22.3 14.9 NA
"1949-11-30" "1949-11-30" 23.7 NA NA NA 22.3 14.9 NA
"1949-12-31" "1949-12-31" 23.61 NA NA NA 22.5 14.9 NA
"1950-01-31" "1950-01-31" 23.51 NA NA NA 22.4 14.9 NA
"1950-02-28" "1950-02-28" 23.61 NA NA NA 22.4 15 NA
"1950-03-31" "1950-03-31" 23.64 NA NA NA 22.4 14.9 NA
"1950-04-30" "1950-04-30" 23.65 NA NA NA 22.4 15 NA
"1950-05-31" "1950-05-31" 23.77 NA NA NA 22.5 15 NA
"1950-06-30" "1950-06-30" 23.88 NA NA NA 22.5 15 NA
"1950-07-31" "1950-07-31" 24.07 NA NA NA 22.7 15.1 NA
"1950-08-31" "1950-08-31" 24.2 NA NA NA 22.9 15.1 NA
"1950-09-30" "1950-09-30" 24.34 NA NA NA 22.9 15.2 NA
"1950-10-31" "1950-10-31" 24.5 NA NA NA 22.9 15.3 NA
"1950-11-30" "1950-11-30" 24.6 NA NA NA 23 15.3 NA
"1950-12-31" "1950-12-31" 24.98 NA NA NA 23.2 15.4 NA
"1951-01-31" "1951-01-31" 25.38 NA NA NA 23.3 15.4 NA
"1951-02-28" "1951-02-28" 25.83 NA NA NA 23.6 15.5 NA
"1951-03-31" "1951-03-31" 25.88 NA NA NA 23.8 15.7 NA
"1951-04-30" "1951-04-30" 25.92 NA NA NA 23.9 15.7 NA
"1951-05-31" "1951-05-31" 25.99 NA NA NA 24 15.8 NA
"1951-06-30" "1951-06-30" 25.93 NA NA NA 24.1 15.8 NA
"1951-07-31" "1951-07-31" 25.91 NA NA NA 24.1 15.8 NA
"1951-08-31" "1951-08-31" 25.86 NA NA NA 24.2 15.9 NA
"1951-09-30" "1951-09-30" 26.03 NA NA NA 24.4 15.9 NA
"1951-10-31" "1951-10-31" 26.16 NA NA NA 24.5 16 NA
"1951-11-30" "1951-11-30" 26.32 NA NA NA 24.8 16.1 NA
"1951-12-31" "1951-12-31" 26.47 NA NA NA 24.9 16.3 NA
"1952-01-31" "1952-01-31" 26.45 NA NA NA 25 16.3 NA
"1952-02-29" "1952-02-29" 26.41 NA NA NA 25.2 16.4 NA
"1952-03-31" "1952-03-31" 26.39 NA NA NA 25.3 16.5 NA
"1952-04-30" "1952-04-30" 26.46 NA NA NA 25.5 16.5 NA
"1952-05-31" "1952-05-31" 26.47 NA NA NA 25.6 16.5 NA
"1952-06-30" "1952-06-30" 26.53 NA NA NA 25.8 16.8 NA
"1952-07-31" "1952-07-31" 26.68 NA NA NA 26 16.9 NA
"1952-08-31" "1952-08-31" 26.69 NA NA NA 25.9 16.9 NA
"1952-09-30" "1952-09-30" 26.63 NA NA NA 26 16.9 NA
"1952-10-31" "1952-10-31" 26.69 NA NA NA 26.1 16.9 NA
"1952-11-30" "1952-11-30" 26.69 NA NA NA 26.2 16.9 NA
"1952-12-31" "1952-12-31" 26.71 NA NA NA 26.2 17 NA
"1953-01-31" "1953-01-31" 26.64 NA NA NA 26.3 17 NA
"1953-02-28" "1953-02-28" 26.59 NA NA NA 26.2 17 NA
"1953-03-31" "1953-03-31" 26.63 NA NA NA 26.3 17 NA
"1953-04-30" "1953-04-30" 26.69 NA NA NA 26.4 17.1 NA
"1953-05-31" "1953-05-31" 26.7 NA NA NA 26.4 17.2 NA
"1953-06-30" "1953-06-30" 26.77 NA NA NA 26.5 17.3 NA
"1953-07-31" "1953-07-31" 26.79 NA NA NA 26.6 17.3 NA
"1953-08-31" "1953-08-31" 26.85 NA NA NA 26.7 17.4 NA
"1953-09-30" "1953-09-30" 26.89 NA NA NA 26.7 17.5 NA
"1953-10-31" "1953-10-31" 26.95 NA NA NA 26.6 17.5 NA
"1953-11-30" "1953-11-30" 26.85 NA NA NA 26.3 17.6 NA
"1953-12-31" "1953-12-31" 26.87 NA NA NA 26.2 17.6 NA
"1954-01-31" "1954-01-31" 26.94 NA NA NA 26.5 17.6 NA
"1954-02-28" "1954-02-28" 26.99 NA NA NA 26.3 17.7 NA
"1954-03-31" "1954-03-31" 26.93 NA NA NA 26.3 17.7 NA
"1954-04-30" "1954-04-30" 26.86 NA NA NA 26.4 17.8 NA
"1954-05-31" "1954-05-31" 26.93 NA NA NA 26.4 17.8 NA
"1954-06-30" "1954-06-30" 26.94 NA NA NA 26.4 17.8 NA
"1954-07-31" "1954-07-31" 26.86 NA NA NA 26 17.8 NA
"1954-08-31" "1954-08-31" 26.85 NA NA NA 25.9 17.9 NA
"1954-09-30" "1954-09-30" 26.81 NA NA NA 25.9 17.9 NA
"1954-10-31" "1954-10-31" 26.72 NA NA NA 25.4 17.9 NA
"1954-11-30" "1954-11-30" 26.78 NA NA NA 25.8 18 NA
"1954-12-31" "1954-12-31" 26.77 NA NA NA 25.8 18 NA
"1955-01-31" "1955-01-31" 26.77 NA NA NA 25.9 18 NA
"1955-02-28" "1955-02-28" 26.82 NA NA NA 25.9 18.1 NA
"1955-03-31" "1955-03-31" 26.79 NA NA NA 25.9 18.1 NA
"1955-04-30" "1955-04-30" 26.79 NA NA NA 25.6 18.1 NA
"1955-05-31" "1955-05-31" 26.77 NA NA NA 25.7 18.2 NA
"1955-06-30" "1955-06-30" 26.71 NA NA NA 25.8 18.2 NA
"1955-07-31" "1955-07-31" 26.76 NA NA NA 25.7 18.2 NA
"1955-08-31" "1955-08-31" 26.72 NA NA NA 25.6 18.3 NA
"1955-09-30" "1955-09-30" 26.85 NA NA NA 25.7 18.3 NA
"1955-10-31" "1955-10-31" 26.82 NA NA NA 25.8 18.4 NA
"1955-11-30" "1955-11-30" 26.88 NA NA NA 26 18.5 NA
"1955-12-31" "1955-12-31" 26.87 NA NA NA 25.8 18.6 NA
"1956-01-31" "1956-01-31" 26.83 NA NA NA 25.8 18.6 NA
"1956-02-29" "1956-02-29" 26.86 NA NA NA 25.8 18.7 NA
"1956-03-31" "1956-03-31" 26.89 NA NA NA 25.8 18.7 NA
"1956-04-30" "1956-04-30" 26.93 NA NA NA 25.8 18.8 NA
"1956-05-31" "1956-05-31" 27.03 NA NA NA 26 18.8 NA
"1956-06-30" "1956-06-30" 27.15 NA NA NA 26 18.8 NA
"1956-07-31" "1956-07-31" 27.29 NA NA NA 26.2 18.9 NA
"1956-08-31" "1956-08-31" 27.31 NA NA NA 26.3 19 NA
"1956-09-30" "1956-09-30" 27.35 NA NA NA 26.4 19.1 NA
"1956-10-31" "1956-10-31" 27.51 NA NA NA 27 19.1 NA
"1956-11-30" "1956-11-30" 27.51 NA NA NA 26.9 19.1 NA
"1956-12-31" "1956-12-31" 27.63 NA NA NA 27 19.2 NA
"1957-01-31" "1957-01-31" 27.67 28.5 NA NA 27.2 19.3 NA
"1957-02-28" "1957-02-28" 27.8 28.6 NA NA 27.4 19.3 NA
"1957-03-31" "1957-03-31" 27.86 28.7 NA NA 27.5 19.4 NA
"1957-04-30" "1957-04-30" 27.93 28.8 NA NA 27.7 19.5 NA
"1957-05-31" "1957-05-31" 28 28.8 NA NA 27.6 19.6 NA
"1957-06-30" "1957-06-30" 28.11 28.9 NA NA 27.7 19.7 NA
"1957-07-31" "1957-07-31" 28.19 29 NA NA 27.8 19.7 NA
"1957-08-31" "1957-08-31" 28.28 29 NA NA 27.8 19.8 NA
"1957-09-30" "1957-09-30" 28.32 29.1 NA NA 27.9 19.8 NA
"1957-10-31" "1957-10-31" 28.32 29.2 NA NA 27.5 19.9 NA
"1957-11-30" "1957-11-30" 28.41 29.3 NA NA 28.3 20 NA
"1957-12-31" "1957-12-31" 28.47 29.3 NA NA 28.1 20.1 NA
"1958-01-31" "1958-01-31" 28.64 29.3 NA NA 28.1 20.2 NA
"1958-02-28" "1958-02-28" 28.7 29.4 NA NA 28.2 20.2 NA
"1958-03-31" "1958-03-31" 28.87 29.5 NA NA 28.3 20.3 NA
"1958-04-30" "1958-04-30" 28.94 29.5 NA NA 28.3 20.4 NA
"1958-05-31" "1958-05-31" 28.94 29.5 NA NA 28.4 20.5 NA
"1958-06-30" "1958-06-30" 28.91 29.6 NA NA 28.4 20.6 NA
"1958-07-31" "1958-07-31" 28.89 29.6 NA NA 28.7 20.7 NA
"1958-08-31" "1958-08-31" 28.94 29.6 NA NA 28.8 20.7 NA
"1958-09-30" "1958-09-30" 28.91 29.7 NA NA 28.9 20.9 NA
"1958-10-31" "1958-10-31" 28.91 29.7 NA NA 28.9 21 NA
"1958-11-30" "1958-11-30" 28.95 29.8 NA NA 29.1 21 NA
"1958-12-31" "1958-12-31" 28.97 29.9 NA NA 29.2 21.1 NA
"1959-01-31" "1959-01-31" 29.01 29.9 NA NA 29.3 21.1 NA
"1959-02-28" "1959-02-28" 29 29.9 NA NA 29.4 21.2 NA
"1959-03-31" "1959-03-31" 28.97 30 NA NA 29.6 21.3 NA
"1959-04-30" "1959-04-30" 28.98 30 NA NA 29.7 21.3 NA
"1959-05-31" "1959-05-31" 29.04 30.1 NA NA 29.7 21.4 NA
"1959-06-30" "1959-06-30" 29.11 30.2 NA NA 29.8 21.5 NA
"1959-07-31" "1959-07-31" 29.15 30.2 NA NA 29.9 21.5 NA
"1959-08-31" "1959-08-31" 29.18 30.2 NA NA 29.9 21.6 NA
"1959-09-30" "1959-09-30" 29.25 30.3 NA NA 30 21.7 NA
"1959-10-31" "1959-10-31" 29.35 30.4 NA NA 30.1 21.7 NA
"1959-11-30" "1959-11-30" 29.35 30.4 NA NA 30.1 21.8 NA
"1959-12-31" "1959-12-31" 29.41 30.5 NA NA 30.1 21.8 NA
"1960-01-31" "1960-01-31" 29.37 30.5 NA NA 30 21.9 NA
"1960-02-29" "1960-02-29" 29.41 30.6 NA NA 30 22 NA
"1960-03-31" "1960-03-31" 29.41 30.6 NA NA 29.9 22.1 NA
"1960-04-30" "1960-04-30" 29.54 30.6 NA NA 29.9 22.2 NA
"1960-05-31" "1960-05-31" 29.57 30.6 NA NA 29.8 22.2 NA
"1960-06-30" "1960-06-30" 29.61 30.7 NA NA 29.8 22.2 NA
"1960-07-31" "1960-07-31" 29.55 30.6 NA NA 29.8 22.3 NA
"1960-08-31" "1960-08-31" 29.61 30.6 NA NA 29.8 22.3 NA
"1960-09-30" "1960-09-30" 29.61 30.6 NA NA 29.6 22.4 NA
"1960-10-31" "1960-10-31" 29.75 30.8 NA NA 29.6 22.4 NA
"1960-11-30" "1960-11-30" 29.78 30.8 NA NA 29.6 22.5 NA
"1960-12-31" "1960-12-31" 29.81 30.7 NA NA 29.7 22.6 NA
"1961-01-31" "1961-01-31" 29.84 30.8 NA NA 29.7 22.6 NA
"1961-02-28" "1961-02-28" 29.84 30.8 NA NA 29.8 22.7 NA
"1961-03-31" "1961-03-31" 29.84 30.9 NA NA 29.8 22.7 NA
"1961-04-30" "1961-04-30" 29.81 30.9 NA NA 29.8 22.8 NA
"1961-05-31" "1961-05-31" 29.84 30.9 NA NA 30 22.8 NA
"1961-06-30" "1961-06-30" 29.84 31 NA NA 30.1 22.9 NA
"1961-07-31" "1961-07-31" 29.92 31 NA NA 30.3 22.9 NA
"1961-08-31" "1961-08-31" 29.94 31.1 NA NA 30.4 23 NA
"1961-09-30" "1961-09-30" 29.98 31.1 NA NA 30.5 23.1 NA
"1961-10-31" "1961-10-31" 29.98 31.1 NA NA 30.5 23.1 NA
"1961-11-30" "1961-11-30" 29.98 31.2 NA NA 30.4 23.1 NA
"1961-12-31" "1961-12-31" 30.01 31.2 NA NA 30.3 23.2 NA
"1962-01-31" "1962-01-31" 30.04 31.2 NA NA 30.4 23.2 NA
"1962-02-28" "1962-02-28" 30.11 31.2 NA NA 30.5 23.3 NA
"1962-03-31" "1962-03-31" 30.17 31.3 NA NA 30.5 23.4 NA
"1962-04-30" "1962-04-30" 30.21 31.3 NA NA 30.9 23.4 NA
"1962-05-31" "1962-05-31" 30.24 31.4 NA NA 30.9 23.5 NA
"1962-06-30" "1962-06-30" 30.21 31.4 NA NA 30.9 23.5 NA
"1962-07-31" "1962-07-31" 30.22 31.4 NA NA 30.6 23.6 NA
"1962-08-31" "1962-08-31" 30.28 31.5 NA NA 30.8 23.6 NA
"1962-09-30" "1962-09-30" 30.42 31.5 NA NA 31 23.6 NA
"1962-10-31" "1962-10-31" 30.38 31.5 NA NA 30.9 23.7 NA
"1962-11-30" "1962-11-30" 30.38 31.5 NA NA 30.9 23.7 NA
"1962-12-31" "1962-12-31" 30.38 31.6 NA NA 30.9 23.8 NA
"1963-01-31" "1963-01-31" 30.44 31.5 NA NA 30.6 23.9 NA
"1963-02-28" "1963-02-28" 30.48 31.6 NA NA 30.7 23.9 NA
"1963-03-31" "1963-03-31" 30.51 31.7 NA NA 30.8 23.9 NA
"1963-04-30" "1963-04-30" 30.48 31.7 NA NA 30.8 23.9 NA
"1963-05-31" "1963-05-31" 30.51 31.7 NA NA 30.9 24 NA
"1963-06-30" "1963-06-30" 30.61 31.8 NA NA 30.9 24.1 NA
"1963-07-31" "1963-07-31" 30.69 31.8 NA NA 30.9 24.1 NA
"1963-08-31" "1963-08-31" 30.75 31.9 NA NA 31 24.2 NA
"1963-09-30" "1963-09-30" 30.72 31.9 NA NA 31 24.2 NA
"1963-10-31" "1963-10-31" 30.75 32 NA NA 31.2 24.2 NA
"1963-11-30" "1963-11-30" 30.78 32 NA NA 31.1 24.3 NA
"1963-12-31" "1963-12-31" 30.88 32.1 NA NA 31.2 24.3 NA
"1964-01-31" "1964-01-31" 30.94 32.2 NA NA 31.4 24.4 NA
"1964-02-29" "1964-02-29" 30.91 32.2 NA NA 31.3 24.4 NA
"1964-03-31" "1964-03-31" 30.94 32.2 NA NA 31.4 24.4 NA
"1964-04-30" "1964-04-30" 30.95 32.2 NA NA 31.3 24.5 NA
"1964-05-31" "1964-05-31" 30.98 32.2 NA NA 31.3 24.5 NA
"1964-06-30" "1964-06-30" 31.01 32.3 NA NA 31.4 24.6 NA
"1964-07-31" "1964-07-31" 31.02 32.3 NA NA 31.3 24.6 NA
"1964-08-31" "1964-08-31" 31.05 32.3 NA NA 31.4 24.7 NA
"1964-09-30" "1964-09-30" 31.08 32.3 NA NA 31.3 24.7 NA
"1964-10-31" "1964-10-31" 31.12 32.4 NA NA 31.3 24.7 NA
"1964-11-30" "1964-11-30" 31.21 32.5 NA NA 31.4 24.8 NA
"1964-12-31" "1964-12-31" 31.25 32.5 NA NA 31.7 24.8 NA
"1965-01-31" "1965-01-31" 31.28 32.6 NA NA 31.9 24.8 NA
"1965-02-28" "1965-02-28" 31.28 32.6 NA NA 31.8 24.9 NA
"1965-03-31" "1965-03-31" 31.31 32.6 NA NA 31.8 25 NA
"1965-04-30" "1965-04-30" 31.38 32.7 NA NA 31.9 25 NA
"1965-05-31" "1965-05-31" 31.48 32.7 NA NA 32 25.1 NA
"1965-06-30" "1965-06-30" 31.61 32.7 NA NA 31.9 25.1 NA
"1965-07-31" "1965-07-31" 31.58 32.7 NA NA 31.9 25.3 NA
"1965-08-31" "1965-08-31" 31.55 32.7 NA NA 31.9 25.3 NA
"1965-09-30" "1965-09-30" 31.62 32.8 NA NA 31.9 25.3 NA
"1965-10-31" "1965-10-31" 31.65 32.8 NA NA 31.8 25.4 NA
"1965-11-30" "1965-11-30" 31.75 32.9 NA NA 31.9 25.5 NA
"1965-12-31" "1965-12-31" 31.85 33 NA NA 32 25.5 NA
"1966-01-31" "1966-01-31" 31.88 33 NA NA 31.9 25.6 NA
"1966-02-28" "1966-02-28" 32.08 33.1 NA NA 32 25.6 NA
"1966-03-31" "1966-03-31" 32.18 33.1 NA NA 32.1 25.8 NA
"1966-04-30" "1966-04-30" 32.28 33.3 NA NA 32.2 25.9 NA
"1966-05-31" "1966-05-31" 32.35 33.4 NA NA 32.1 26 NA
"1966-06-30" "1966-06-30" 32.38 33.5 NA NA 32.2 26.1 NA
"1966-07-31" "1966-07-31" 32.45 33.6 NA NA 32.5 26.3 NA
"1966-08-31" "1966-08-31" 32.65 33.7 NA NA 32.6 26.4 NA
"1966-09-30" "1966-09-30" 32.75 33.8 NA NA 32.6 26.7 NA
"1966-10-31" "1966-10-31" 32.85 34 NA NA 32.7 26.9 NA
"1966-11-30" "1966-11-30" 32.88 34 NA NA 32.8 27.1 NA
"1966-12-31" "1966-12-31" 32.92 34.1 NA NA 32.6 27.2 NA
"1967-01-31" "1967-01-31" 32.9 34.2 34.8 30.5 32.6 27.4 34.5
"1967-02-28" "1967-02-28" 33 34.2 34.7 30.5 32.8 27.5 34.5
"1967-03-31" "1967-03-31" 33 34.3 34.7 30.5 32.8 27.6 34.6
"1967-04-30" "1967-04-30" 33.1 34.4 34.6 30.6 33 27.8 34.6
"1967-05-31" "1967-05-31" 33.1 34.5 34.6 30.7 33.1 27.9 34.7
"1967-06-30" "1967-06-30" 33.3 34.6 34.9 30.7 33.1 28.1 34.8
"1967-07-31" "1967-07-31" 33.4 34.7 35 30.8 33.3 28.2 35
"1967-08-31" "1967-08-31" 33.5 34.9 35.2 30.9 33.4 28.3 35.3
"1967-09-30" "1967-09-30" 33.6 35 35.2 31 33.7 28.5 35.5
"1967-10-31" "1967-10-31" 33.7 35.1 35.3 31 33.6 28.7 35.6
"1967-11-30" "1967-11-30" 33.9 35.2 35.4 31.1 33.9 28.8 35.8
"1967-12-31" "1967-12-31" 34 35.4 35.5 31.2 33.9 29 35.9
"1968-01-31" "1968-01-31" 34.1 35.5 35.5 31.3 34.1 29.1 36.1
"1968-02-29" "1968-02-29" 34.2 35.7 35.7 31.4 34.2 29.2 36.1
"1968-03-31" "1968-03-31" 34.3 35.8 35.8 31.5 34.2 29.4 36.4
"1968-04-30" "1968-04-30" 34.4 35.9 36 31.6 34.1 29.5 36.5
"1968-05-31" "1968-05-31" 34.5 36 36.1 31.7 34.1 29.6 36.6
"1968-06-30" "1968-06-30" 34.7 36.2 36.1 31.9 34.3 29.7 36.9
"1968-07-31" "1968-07-31" 34.9 36.4 36.2 32.1 34.3 29.9 37
"1968-08-31" "1968-08-31" 35 36.5 36.3 32.3 34.4 30 37.1
"1968-09-30" "1968-09-30" 35.1 36.7 36.5 32.4 34.4 30.2 37.3
"1968-10-31" "1968-10-31" 35.3 36.9 36.8 32.5 34.5 30.4 37.4
"1968-11-30" "1968-11-30" 35.4 37.1 36.8 32.7 34.7 30.6 37.6
"1968-12-31" "1968-12-31" 35.6 37.2 37 32.9 34.5 30.8 37.7
"1969-01-31" "1969-01-31" 35.7 37.3 37 33 34.7 30.9 37.8
"1969-02-28" "1969-02-28" 35.8 37.6 37 33.1 35.2 31.2 37.9
"1969-03-31" "1969-03-31" 36.1 37.8 37.1 33.4 35.8 31.4 38
"1969-04-30" "1969-04-30" 36.3 38.1 37.4 33.6 35.8 31.6 38.1
"1969-05-31" "1969-05-31" 36.4 38.1 37.6 33.7 35.5 31.8 38.2
"1969-06-30" "1969-06-30" 36.6 38.3 38 33.9 35.6 31.9 38.5
"1969-07-31" "1969-07-31" 36.8 38.5 38.2 34.1 35.6 32.1 38.8
"1969-08-31" "1969-08-31" 36.9 38.7 38.4 34.3 35.7 32.2 39.1
"1969-09-30" "1969-09-30" 37.1 38.9 38.6 34.5 35.6 32.5 39.3
"1969-10-31" "1969-10-31" 37.3 39.1 38.7 34.7 35.9 32.3 39.4
"1969-11-30" "1969-11-30" 37.5 39.2 39.1 34.8 36 32.5 39.7
"1969-12-31" "1969-12-31" 37.7 39.4 39.5 35 36.2 32.6 39.8
"1970-01-31" "1970-01-31" 37.9 39.6 39.6 35.1 36.6 32.8 39.9
"1970-02-28" "1970-02-28" 38.1 39.8 39.8 35.4 36.7 33 40
"1970-03-31" "1970-03-31" 38.3 40.1 39.8 35.8 36.6 33.2 40.2
"1970-04-30" "1970-04-30" 38.5 40.4 39.9 35.9 37.1 33.5 40.5
"1970-05-31" "1970-05-31" 38.6 40.5 40.1 36.1 37.2 33.7 40.7
"1970-06-30" "1970-06-30" 38.8 40.8 40.1 36.3 37.4 33.9 40.9
"1970-07-31" "1970-07-31" 38.9 40.9 40.2 36.5 37.6 34.1 41.2
"1970-08-31" "1970-08-31" 39 41.1 40.2 36.6 37.5 34.3 41.4
"1970-09-30" "1970-09-30" 39.2 41.3 40.4 36.9 37.7 34.5 41.5
"1970-10-31" "1970-10-31" 39.4 41.5 40.5 37.1 38.1 34.6 41.6
"1970-11-30" "1970-11-30" 39.6 41.8 40.4 37.3 38.5 34.8 41.8
"1970-12-31" "1970-12-31" 39.8 42 40.5 37.4 38.9 35.1 41.9
"1971-01-31" "1971-01-31" 39.9 42.1 40.5 37.5 39.2 35.2 42.2
"1971-02-28" "1971-02-28" 39.9 42.2 40.5 37.5 39.4 35.4 42.2
"1971-03-31" "1971-03-31" 40 42.2 40.9 37.4 39.4 35.6 42.3
"1971-04-30" "1971-04-30" 40.1 42.4 41.1 37.4 39.4 35.8 42.4
"1971-05-31" "1971-05-31" 40.3 42.6 41.3 37.6 39.4 36 42.6
"1971-06-30" "1971-06-30" 40.5 42.8 41.5 37.9 39.6 36.2 42.7
"1971-07-31" "1971-07-31" 40.6 42.9 41.6 38.1 39.6 36.4 43
"1971-08-31" "1971-08-31" 40.7 43 41.6 38.2 39.7 36.5 43.2
"1971-09-30" "1971-09-30" 40.8 43 41.6 38.4 39.5 36.7 43.5
"1971-10-31" "1971-10-31" 40.9 43.1 41.7 38.5 39.5 36.5 43.5
"1971-11-30" "1971-11-30" 41 43.2 41.9 38.6 39.4 36.6 43.6
"1971-12-31" "1971-12-31" 41.1 43.3 42.3 38.7 39.4 36.7 43.7
"1972-01-31" "1972-01-31" 41.2 43.5 42.2 38.9 39.7 36.8 43.9
"1972-02-29" "1972-02-29" 41.4 43.6 42.6 39 39.6 36.9 44.1
"1972-03-31" "1972-03-31" 41.4 43.6 42.6 39 39.6 37 44.3
"1972-04-30" "1972-04-30" 41.5 43.8 42.6 39.1 39.6 37.1 44.4
"1972-05-31" "1972-05-31" 41.6 43.9 42.7 39.2 39.7 37.2 44.6
"1972-06-30" "1972-06-30" 41.7 44 42.8 39.4 39.7 37.3 44.8
"1972-07-31" "1972-07-31" 41.8 44.1 43.1 39.6 39.8 37.3 44.8
"1972-08-31" "1972-08-31" 41.9 44.3 43.1 39.7 40 37.4 44.9
"1972-09-30" "1972-09-30" 42.1 44.3 43.5 39.8 40.2 37.4 45
"1972-10-31" "1972-10-31" 42.2 44.4 43.7 39.8 40.1 37.8 45.1
"1972-11-30" "1972-11-30" 42.4 44.4 43.9 39.9 40.3 37.8 45.2
"1972-12-31" "1972-12-31" 42.5 44.6 44.1 40.1 40.4 37.9 45.3
"1973-01-31" "1973-01-31" 42.7 44.6 44.8 40.1 40.4 38 45.3
"1973-02-28" "1973-02-28" 43 44.8 45.5 40.2 40.6 38.1 45.5
"1973-03-31" "1973-03-31" 43.4 45 46.5 40.4 40.7 38.2 45.8
"1973-04-30" "1973-04-30" 43.7 45.1 47.2 40.5 41 38.3 46.1
"1973-05-31" "1973-05-31" 43.9 45.3 47.8 40.6 41 38.5 46.2
"1973-06-30" "1973-06-30" 44.2 45.4 48.3 40.9 41.2 38.6 46.4
"1973-07-31" "1973-07-31" 44.2 45.5 48.4 41 41.2 38.6 46.6
"1973-08-31" "1973-08-31" 45 45.7 50.9 41.3 41.2 38.7 46.7
"1973-09-30" "1973-09-30" 45.2 46 50.9 41.7 41.1 38.9 46.9
"1973-10-31" "1973-10-31" 45.6 46.3 51.2 42.1 41.4 39.6 47.1
"1973-11-30" "1973-11-30" 45.9 46.5 51.8 42.5 41.8 39.7 47.3
"1973-12-31" "1973-12-31" 46.3 46.7 52.3 42.8 42.2 39.9 47.5
"1974-01-31" "1974-01-31" 46.8 46.9 52.9 43.3 42.8 40.1 47.6
"1974-02-28" "1974-02-28" 47.3 47.2 54 43.6 43.4 40.3 47.9
"1974-03-31" "1974-03-31" 47.8 47.6 54.5 44.1 44.2 40.7 48.2
"1974-04-30" "1974-04-30" 48.1 47.9 54.4 44.4 44.7 41 48.4
"1974-05-31" "1974-05-31" 48.6 48.5 54.8 44.9 45.3 41.4 48.9
"1974-06-30" "1974-06-30" 49 49 54.9 45.4 45.9 42.1 49.5
"1974-07-31" "1974-07-31" 49.3 49.5 54.8 45.9 46.4 42.6 50
"1974-08-31" "1974-08-31" 49.9 50.2 55.5 46.5 46.6 43.2 50.5
"1974-09-30" "1974-09-30" 50.6 50.7 56.6 47.1 47 43.7 50.9
"1974-10-31" "1974-10-31" 51 51.2 57.2 47.7 47.3 44.1 51.4
"1974-11-30" "1974-11-30" 51.5 51.6 57.9 48.1 47.6 44.4 51.8
"1974-12-31" "1974-12-31" 51.9 52 58.6 48.6 47.9 44.8 52.3
"1975-01-31" "1975-01-31" 52.3 52.3 58.8 49 48 45.3 52.7
"1975-02-28" "1975-02-28" 52.6 52.8 59 49.4 48.3 45.8 53
